Shipping,Envio
Your coupon was successfully applied.,Seu cupom foi aplicado com sucesso.
Your coupon was successfully removed.,Seu cupom foi removido com sucesso.
ESTIMATED,ESTIMADO
Total,Total
Credit Card Form,Formulário de cartão de crédito
Google Pay,Google Pay
Account Number,Número da conta
Routing Number,Número de registro
Check Number,Número do cheque
Company Name,Nome da empresa
Email Address,Endereço de e-mail
IBAN,IBAN
Account Holder Name,Nome do titular da conta
Credit Card Number,Número do cartão de crédito
Save This Card,Salvar este cartão
Share Order,Compartilhar pedido
Samsung Pay,Samsung Pay
* Required Fields,* Campos obrigatórios
Cart Subtotal,Subtotal do carrinho
Order Total,Total do pedido
"Hi,","Oi,"
"Hi %billing_name,",Oi %billing_name
There has been an error while sending request to Worldpay. Details are given below,Ocorreu um erro no envio da solicitação para Worldpay. Os detalhes são fornecidos abaixo
Error Code:,Código do Erro:
Error Message:,Mensagem de Erro:
More details are attached in the attachment,Mais detalhes estão anexados no anexo
Note: You are receiving this email because you have enabled the error alert configuration in admin,Observação: Você está recebendo este e-mail porque ativou a configuração de alerta de erro no admin
Thank you for your order from %store_name.,Obrigado por seu pedido da %store_name.
Your payment has been confirmed with the bank and order has been processed successfully,Seu pagamento foi confirmado pelo banco e o pedido foi processado com sucesso
Once your package ships we will send you a tracking number.,"Assim que seu pacote for enviado, enviaremos um número de rastreamento."
Your payment has been declined by the bank and order has been cancelled,Seu pagamento foi recusado pelo banco e o pedido foi cancelado
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Se tiver dúvidas sobre seu pedido, envie-nos um e-mail para <a href=""mailto:%store_email"">%store_email</a>"
" or call us at <a href=""tel:%store_phone"">%store_phone</a>."," ou ligue para <a href=""tel:%store_phone"">%store_phone</a>."
Our hours are %store_hours.,Nosso horário de funcionamento é %store_hours.
Your Order #%increment_id,Seu pedido #%increment_id
Placed on %created_at,Foi feito em %created_at
Billing Info,Informações de cobrança
Shipping Info,Informações de envio
You can check the status of your order by logging into your account.,Você pode verificar o status do seu pedido fazendo login na sua conta.
This is to inform you that your payment can be made by clicking below secure link.,Isso é para informá-lo de que seu pagamento pode ser feito clicando no link seguro abaixo.
"Dear %customerName,","Prezado %customerName,"
Thanks for your business. Your order has been successfully generated orderId,Obrigado por seu negócio. Seu pedido foi gerado com sucesso orderId
Pay Now,Pagar agora
Please note that the link will get expired <strong>%pblexpirytime</strong>,Observe que o link será expirado <strong>%pblexpirytime</strong>
"Here are the details of your generated order,","Aqui estão os detalhes do seu pedido,"
"If you have queries about this payment, or would you like to chat, feel free to contact us.","Se tiver dúvidas sobre esse pagamento ou quiser conversar, entre em contato conosco."
Thanks for your business. Your multishipping order has been successfully generated %orderId,Obrigado por seu negócio. Seu pedido de múltiplos envios foi gerado com sucesso %orderId
We hope this email finds you well.,Esperamos que este e-mail lhe traga boas notícias.
"Your next subscription order is scheduled for <strong style=""color: red;"">%recurring_date</strong>, and we want to ensure a seamless experience for you.","Seu próximo pedido de assinatura está programado para <strong style=""color: red;"">%recurring_date</strong>, e queremos lhe garantir uma experiência perfeita."
Please review the order details below:,Consulte os detalhes do pedido abaixo:
Order Information,Informações do pedido
Actions You Can Take,Ações que você pode realizar
Change Shipment,Alterar envio
Skip This Order,Ignorar este pedido
"Please ensure that any changes are made before the scheduled date to avoid any inconvenience. If you have any questions or encounter any issues, feel free to reach out to our customer support.","Certifique-se de que todas as alterações sejam feitas antes da data programada para evitar qualquer inconveniente. Se tiver alguma dúvida ou encontrar algum problema, sinta-se à vontade para entrar em contato com nosso suporte ao cliente."
Note: You are receiving this email because you have a recurring order in your account.,Observação: Você está recebendo este e-mail porque tem um pedido recorrente em sua conta.
We are confirming your payment with the bank and will let you know the status soon.,Estamos confirmando seu pagamento com o banco e informaremos o status em breve.
Order has been placed and we are confirming your payment with the bank,O pedido foi feito e estamos confirmando seu pagamento com o banco
"If you have any questions or encounter any issues, feel free to reach out to our customer support.","Se tiver alguma dúvida ou encontrar algum problema, sinta-se à vontade para entrar em contato com nosso suporte ao cliente."
WORLDPAY: ,WORLDPAY:
Pay by Link for Order %orderId,Pagar por link o pedido %orderId
Pay by Link for Multishipping Order %orderId,Pagar por link o pedido de múltiplos envios %orderId
Resend Pay by Link for Order %orderId,Reenviar link de pagamento para pedido %orderId
Skipped Order %orderId,Pedido ignorado %orderId
Reminder - Recurring order,Lembrete - Pedido recorrente
Payment link has been generated! Please check your email,"O link de pagamento foi gerado! Por favor, verifique seu e-mail"
Success Page,Página de sucesso
Paybylink order place,Local do pedido do Paybylink
My Subscriptions,Minhas Assinaturas
Subscriptions Related Skip Order,Ordem omitidas relacionadas a assinaturas
Subscriptions Related Order,Ordem relacionada a assinaturas
Pending Page,Página pendente
ORDER PENDING!,PEDIDO PENDENTE!
Order Success Additional Info,Informações adicionais sobre o sucesso do pedido
WP Paybylink Multishipping Email addresses,Endereços de e-mail do WP Paybylink Múltiplo envio
"Back of card, last 3 digits","Verso do cartão, últimos 3 dígitos"
Security code,Código de segurança
$1.00 paid weekly,"US$ 1,00 pago semanalmente"
$1.00 paid monthly,"US$ 1,00 pago mensalmente"
$3.00 paid quarterly,"US$ 3,00 pagos trimestralmente"
$4.00 paid semiannually,"US$ 4,00 pagos semestralmente"
$5.00 paid annually,"US$ 5,00 pagos anualmente"
"Please verify subscription data, before placing the order",Verifique os dados da assinatura antes de fazer o pedido
Subscription Details,Detalhes da assinatura
Subscription Start Date,Data de início da assinatura
Subscription End Date,Data de término da assinatura
Buy one time or select a Payment Plan,Compre uma vez ou selecione um plano de pagamento
Subscribe this product and save,Assine este produto e economize

We Accept,Nós aceitamos
Use Saved Card,Usar Cartão Salvo
Bank Account Types,Tipos de conta bancária
Saved Card feature will be available only if enabled by Merchant.,O recurso Cartão salvo estará disponível somente se ativado pelo comerciante.
Expiration Date,Data de expiração
Saved cards,Cartões salvos
Save this card for future usage and recurring payments,Salvar esse cartão para uso futuro e pagamentos recorrentes
Continue to Worldpay,Continuar na Worldpay
Please do not navigate away or refresh this page before completing the payment or else this order will be cancelled,"Não navegue para fora ou atualize esta página antes de concluir o pagamento, caso contrário, este pedido será cancelado"
Mandate Type,Tipo de obrigação
You have no items in your shopping cart.,Não há itens em seu carrinho de compras.
View and Edit Cart,Ver e editar carrinho
Recently added item(s),Item(ns) adicionado(s) recentemente
Select Your Payment Method,Selecione seu método de pagamento
Select Account Type,Selecione o tipo de conta
Order Summary,Resumo do pedido
Shipping Methods,Métodos de envio
No Payment Methods,Nenhum método de pagamento
Apply Discount Code,Aplicar código de desconto
Ship To:,Enviar para:
Shipping Method:,Método de envio:
First Name,Primeiro nome
Last Name,Sobrenome
Company,Empresa
City,Cidade
State/Province,Estado/Província
Zip/Postal Code,CEP/Código Postal
Street Address,Endereço
Street Address: Line 1,Endereço: Linha 1
Street Address: Line 2,Endereço: Linha 2
Street Address: Line 3,Endereço: Linha 3
Phone Number,Telefone
Select Your Credit Card,Selecione seu cartão de crédito
Completed,Concluído
Saved Card,Cartão salvo
Success Page,Página de sucesso
Pending Page,Página pendente
Skip Next Order,Ignorar próximo pedido
Scheduled on,Programado em
View All Recurring Order,Exibir todos os pedidos recorrentes
Shipping method is not available,O método de envio não está disponível
%1 Order placed in,%1 Pedido feito em
View:,Ver:
Sync status action not possible for this Partial Capture Order.,A ação de status de sincronização não é possível para esse Pedido de Captura Parcial.
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","Para itens de pedidos bem-sucedidos, você receberá um e-mail de confirmação incluindo números de pedidos, informações de rastreamento e mais detalhes."
"Order with id ""%1"" does not exist.","O pedido com id ““%1”“ não existe."
" has been created but not confirmed."," foi criado, mas não confirmado."

Update Saved Card,Atualizar cartão salvo
Edit Subscription,Editar subscrição
Subscription Information,Informações sobre a subscrição
Product Name,Nome do produto
Payment Plan,Plano de pagamento
Save Subscription,Guardar subscrição
My Saved Card,O meu cartão salvo
Billing Information,Informações de faturação
Address,Endereço

You should login or register to buy a subscription.,Você deve fazer login ou registrar-se para comprar uma assinatura.
Choose any of the plan!,Escolha qualquer um dos planos!
Choose plan start date!,Escolha a data de início do plano!
Are you sure you would like to remove this item from the shopping cart?,Tem certeza de que deseja remover este item do carrinho de compras?
An error has occurred. Please try again.,"Ocorreu um erro. Por favor, tente novamente."
Item is deleted successfully,O item foi excluído com sucesso
Please try after some time,Tente novamente após algum tempo
Error: the card has not been updated.,Erro: o cartão não foi atualizado.
"Error occurred, please check your card details.","Ocorreu um erro, verifique os detalhes do seu cartão."
The card has been updated.,O cartão foi atualizado.
Subscription has been updated.,A assinatura foi atualizada.
Failed to update subscription.,Falha ao atualizar a assinatura.
Are you sure you want to cancel this subscription?,Tem certeza de que deseja cancelar essa assinatura?
You have not purchased any subscriptions yet.,Você ainda não adquiriu nenhuma assinatura.
Subscription has been cancelled.,A assinatura foi cancelada.
Subscription no longer exists.,A assinatura não existe mais.
Subscription is no longer active.,A assinatura não está mais ativa.
Subscription is not found,A assinatura não foi encontrada
Failed to cancel subscription.,Falha ao cancelar a assinatura.
"Subscriptions can be bought only separately, one subscription at a time.","As assinaturas só podem ser compradas separadamente, uma assinatura de cada vez."
Selected subscription plan is not available.,O plano de assinatura selecionado não está disponível.
Subscription already in the cart,A assinatura já está no carrinho
Choose plan end date!,Escolha a data final do plano!

Credit Card Information,Informações do cartão de crédito

The card number entered is invalid.,O número do cartão inserido é inválido.
Card number should contain between 12 and 20 numeric characters.,O número do cartão deve conter entre 12 e 20 caracteres numéricos.
"This card number cannot be used to place 3DS2 order now, please go and update this from My account first.",Esse número de cartão não pode ser usado para fazer um pedido de 3DS2 agora. Atualize-o primeiro em Minha conta.
"Please, enter valid Card Verification Number",Digite um número de verificação de cartão válido
"Please, Save the card before placing subscription order",Salve o cartão antes de fazer o pedido de assinatura
"Please, Verify the disclaimer! before saving the card",Verifique o aviso de isenção de responsabilidade antes de salvar o cartão
Please select one of the options,Selecione uma das opções
Failed due to unrecoverable error,Falhou devido a um erro irrecuperável
3DS Failed,3DS Falhou
Unfortunately the order could not be processed. Please contact us or try again later.,"Infelizmente, não foi possível processar a encomenda. Por favor, contate-nos ou tente novamente mais tarde."
An error occurred,Ocorreu um erro
An error occurred on the server. Please try to place the order again.,Ocorreu um erro no servidor. Tente efetuar a encomenda novamente.
"3DS2 services are disabled, please contact system administrator.","Os serviços 3DS2 estão desactivados, contacte o administrador do sistema."
Invalid Payment Type. Please Refresh and check again,Tipo de pagamento inválido. Atualize e verifique novamente
WorldPay refund ERROR: Credit Memo does not match Order. Reference,Erro de reembolso na Worldpay: A nota de crédito não corresponde à encomenda. Referência
Unfortunately the order could not be processed. Please contact us or try again later,"Infelizmente, o pedido não pôde ser processado. Entre em contato conosco ou tente novamente mais tarde"
"Duplicate Entry, This card number is already saved.","Duplicate Entry, This card number is already saved."
"Order %s has been declined, please check your details and try again","O pedido %s foi recusado, verifique seus detalhes e tente novamente"
"An unexpected error occurred, Please try to place the order again","Ocorreu um erro inesperado, tente fazer o pedido novamente"
"There appears to be an issue with your stored data, please review in your account and update details as applicable.","Parece haver um problema com seus dados armazenados, revise sua conta e atualize os detalhes conforme aplicável."
CPF is 11 digits and CNPJ is 14 digits.,O CPF tem 11 dígitos e o CNPJ tem 14 dígitos.
"Only alphabet,number or space is allowed","Somente alfabeto, número ou espaço são permitidos"
"You already seem to have this card number stored, If your card details have changed, you can update them via My Account -> Saved Card","Parece que você já tem esse número de cartão armazenado. Se os detalhes do seu cartão foram alterados, você pode atualizá-los em Minha Conta -> Cartão Salvo"
Parse error with PaRes: Error parsing pARes,Erro de análise com PaRes: Erro ao analisar pARes
Invalid Configuration. Please Refresh and check again,Configuração inválida. Atualize e verifique novamente
Invalid Expiry Year. Please Refresh and check again,Ano de validade inválido. Atualize e verifique novamente
Invalid Expiry Month. Please Refresh and check again,Mês de validade inválido. Atualize e verifique novamente
Invalid Card Number. Please Refresh and check again,"Número de cartão inválido. Por favor, atualize e verifique novamente"
Invalid Card Holder Name.Please Refresh and check again,"Nome do titular do cartão inválido. Por favor, atualize e verifique novamente"
Order has already been paid,A Ordem já foi paga
Securely check out directly from your bank account in seconds. Try a better way to pay,Finalize a compra com segurança diretamente da sua conta bancária em segundos. Experimente uma maneira melhor de pagar.
Pay By Bank,Transferencia bancaria
